"productCode","productName","productLine","rating","buyPrice","quantityInStock","productVendor","orderDate","requiredDate","shippedDate","status","quantityOrdered","priceEach","orderLineNumber","customerName","contactLastName","contactFirstName","city","state","country","creditLimit"
"S18_1749","OPPO A3 Pro 5G 8GB/256GB Smartphone (Garansi Resmi)","Smartphone",5,3999000,2724,"OPPO","2024-04-18T09:19:21","2024-08-07T13:16:46","2024-04-21T08:36:11","Shipped",30,136,3,"Online Diecast Creations Co.","Young","Dorothy","Nashua","NH","USA",114200
"S18_2248","Samsung Galaxy Z Flip6 [12/512] - [Mint, Silver Shadow, Yellow, Blue] Smartphone AI, AI Phone, Smartphone Lipat, Android, Kamera 50MP, FlexCam","Smartphone",4.9,17499000,540,"Samsung","2024-04-18T09:19:21","2024-08-07T13:16:46","2024-04-21T08:36:11","Shipped",50,55.09,2,"Online Diecast Creations Co.","Young","Dorothy","Nashua","NH","USA",114200
"S18_4409","Laptop ADVAN Workplus Intel Core i5 1235U GEN 12 16GB 512GB 14” FHD IPS 16:10 Windows 11 Original Notebook","Laptop",4.8,8199000,6553,"ADVAN","2024-04-18T09:19:21","2024-08-07T13:16:46","2024-04-21T08:36:11","Shipped",22,75.46,4,"Online Diecast Creations Co.","Young","Dorothy","Nashua","NH","USA",114200
"S24_3969","DM56 Smartwatch Retina Amoled Smartwatch GPS Compass Altimeter Barometer 5 ATM IP69K","Smartwatch",4.09,899000,2081,"DM56","2024-04-18T09:19:21","2024-08-07T13:16:46","2024-04-21T08:36:11","Shipped",49,35.29,1,"Online Diecast Creations Co.","Young","Dorothy","Nashua","NH","USA",114200
"S18_2325","Samsung Galaxy S24 Ultra [12/512], Smartphone AI, AI Phone, Handphone AI, Kamera 50MP, Layar besar, RAM besar, Baterai tahan lama","Smartphone",4.8,20854500,9354,"Samsung","2024-06-12T07:58:24","2023-12-23T09:02","2024-07-04T14:07:01","Shipped",25,108.06,4,"Blauer See Auto, Co.","Keitel","Roland","Frankfurt",,"Germany",59700
"S18_2795","Versi Global Qin F22 Pro Play Store 4GB 64GB Smartphone Layar Sentuh","Smartphone",5,3978000,548,"Qin","2024-06-12T07:58:24","2023-12-23T09:02","2024-07-04T14:07:01","Shipped",26,167.06,1,"Blauer See Auto, Co.","Keitel","Roland","Frankfurt",,"Germany",59700
"S24_1937","Official Xiaomi Smart TV A 55 UHD  4K Ultra HD Dolby Audio™ DTS-X","TV",4.8,5599000,7332,"Xiaomi","2024-06-12T07:58:24","2023-12-23T09:02","2024-07-04T14:07:01","Shipped",45,32.53,3,"Blauer See Auto, Co.","Keitel","Roland","Frankfurt",,"Germany",59700
"S24_2022","Official Xiaomi Smart TV A 43 FHD  Resolusi FHD Dolby Audio™","TV",4.9,2999000,2847,"Xiaomi","2024-06-12T07:58:24","2023-12-23T09:02","2024-07-04T14:07:01","Shipped",46,44.35,2,"Blauer See Auto, Co.","Keitel","Roland","Frankfurt",,"Germany",59700
"S18_1342","OPPO Reno12 5G 12GB/256GB Smartphone (Garansi Resmi)","Smartphone",5,6999000,8693,"OPPO","2023-11-16T23:16:25","2024-04-01T04:04:47","2024-02-08T09:10:59","Shipped",39,95.55,2,"Vitachrome Inc.","Frick","Michael","NYC","NY","USA",76400
"S18_1367","hp samsung a14 4g 6/128 fullset smartphone android","Smartphone",4.8,1146000,8635,"Samsung","2023-11-16T23:16:25","2024-04-01T04:04:47","2024-02-08T09:10:59","Shipped",41,43.13,1,"Vitachrome Inc.","Frick","Michael","NYC","NY","USA",76400
"S10_1949","Samsung Galaxy S24 5G 8/512GB AI Smartphone Online Exclusive","Smartphone",4.9,13299000,7305,"Samsung","2024-05-07T07:50:40","2024-05-16T10:58:02","2023-10-09T12:20:24","Shipped",26,214.3,11,"Baane Mini Imports","Bergulfsen","Jonas ","Stavern",,"Norway",81700
"S10_4962","ADVAN smartphone NASA PRO 2GB/32GB Android 11","Smartphone",4.9,649000,6791,"ADVAN","2024-05-07T07:50:40","2024-05-16T10:58:02","2023-10-09T12:20:24","Shipped",42,119.67,4,"Baane Mini Imports","Bergulfsen","Jonas ","Stavern",,"Norway",81700
"S12_1666","Samsung Galaxy S24 Ultra [12/512], Smartphone AI, AI Phone, Handphone AI, Kamera 50MP, Layar besar, RAM besar, Baterai tahan lama","Smartphone",4.8,20854500,1579,"Samsung","2024-05-07T07:50:40","2024-05-16T10:58:02","2023-10-09T12:20:24","Shipped",27,121.64,8,"Baane Mini Imports","Bergulfsen","Jonas ","Stavern",,"Norway",81700
"S18_1097","Samsung Galaxy S23 Ultra [12/256], Smartphone AI, AI Phone, Handphone AI, 50MP Nightography Camera & Snapdragon 8 Gen 2 (4nm), HP flagship Samsung, Android","Smartphone",4.9,16974500,2613,"Samsung","2024-05-07T07:50:40","2024-05-16T10:58:02","2023-10-09T12:20:24","Shipped",35,94.5,10,"Baane Mini Imports","Bergulfsen","Jonas ","Stavern",,"Norway",81700
"S18_2432","Samsung Galaxy Z Flip6 Online Exclusive, Smartphone AI, Smartphone Lipat, Android, Kamera 50MP","Smartphone",4.6,17499000,2018,"Samsung","2024-05-07T07:50:40","2024-05-16T10:58:02","2023-10-09T12:20:24","Shipped",22,58.34,2,"Baane Mini Imports","Bergulfsen","Jonas ","Stavern",,"Norway",81700
"S18_2949","OPPO A57 RAM 4/64 GB | A 57 4/64GB SMARTPHONE","Smartphone",4.8,1350000,4189,"OPPO","2024-05-07T07:50:40","2024-05-16T10:58:02","2023-10-09T12:20:24","Shipped",27,92.19,12,"Baane Mini Imports","Bergulfsen","Jonas ","Stavern",,"Norway",81700
"S18_2957","Xiaomi Redmi A3 Smartphone 4/128Gb Garansi Resmi","Smartphone",5,1194000,5649,"Xiaomi","2024-05-07T07:50:40","2024-05-16T10:58:02","2023-10-09T12:20:24","Shipped",35,61.84,14,"Baane Mini Imports","Bergulfsen","Jonas ","Stavern",,"Norway",81700
"S18_3136","Smartphone VIVO Y17 RAM 8GB + 256GB","Smartphone",4.7,729000,5992,"VIVO","2024-05-07T07:50:40","2024-05-16T10:58:02","2023-10-09T12:20:24","Shipped",25,86.92,13,"Baane Mini Imports","Bergulfsen","Jonas ","Stavern",,"Norway",81700
"S18_3320","Laptop ADVAN TBOOK INTEL N100 4Gb/128GB 14"""" HD FREE Windows 11","Laptop",5,2999000,7913,"ADVAN","2024-05-07T07:50:40","2024-05-16T10:58:02","2023-10-09T12:20:24","Shipped",46,86.31,16,"Baane Mini Imports","Bergulfsen","Jonas ","Stavern",,"Norway",81700
"S18_4600","ADVAN Notebook Laptop Workpro Intel I5 14'' FHD IPS 8GB 256GB Win 11","Laptop",4.8,6299000,3128,"ADVAN","2024-05-07T07:50:40","2024-05-16T10:58:02","2023-10-09T12:20:24","Shipped",36,98.07,5,"Baane Mini Imports","Bergulfsen","Jonas ","Stavern",,"Norway",81700
"S18_4668","ADVAN Laptop Workplus AMD RYZEN 5 6600H 14'' FHD IPS 16GB 512GB Win 11","Laptop",4.9,7099000,6645,"ADVAN","2024-05-07T07:50:40","2024-05-16T10:58:02","2023-10-09T12:20:24","Shipped",41,40.75,9,"Baane Mini Imports","Bergulfsen","Jonas ","Stavern",,"Norway",81700
"S24_2300","XIAOMI OFFICIAL Xiaomi TV Stick 4K Android TV 11 4K Portabel","TV",4.9,699000,2327,"Xiaomi","2024-05-07T07:50:40","2024-05-16T10:58:02","2023-10-09T12:20:24","Shipped",36,107.34,1,"Baane Mini Imports","Bergulfsen","Jonas ","Stavern",,"Norway",81700
"S24_4258","Smart Watch Series 8 ULTRA Support IOS & Android Bluetooth Smartwatch Water Resistance","Smartwatch",5,185000,4710,"Smart","2024-05-07T07:50:40","2024-05-16T10:58:02","2023-10-09T12:20:24","Shipped",25,88.62,15,"Baane Mini Imports","Bergulfsen","Jonas ","Stavern",,"Norway",81700
"S32_1268","JETE Kabel Magnetic Charger Smartwatch FR12 FR11 AM1 AM2 - Original","Smartwatch",4.08,50000,5099,"JETE","2024-05-07T07:50:40","2024-05-16T10:58:02","2023-10-09T12:20:24","Shipped",31,92.46,3,"Baane Mini Imports","Bergulfsen","Jonas ","Stavern",,"Norway",81700
"S32_3522","Lenyes S220 Speaker Bluetooth Wireless 12W RGB TWS Original Garansi","Speaker BT",4.08,187900,814,"Lenyes","2024-05-07T07:50:40","2024-05-16T10:58:02","2023-10-09T12:20:24","Shipped",45,63.35,7,"Baane Mini Imports","Bergulfsen","Jonas ","Stavern",,"Norway",81700
"S700_2824","Bose Smart Soundbar 600 Portable Wireless Bluetooth Speaker - Black","Speaker BT",4.09,6999000,6934,"Bose","2024-05-07T07:50:40","2024-05-16T10:58:02","2023-10-09T12:20:24","Shipped",42,94.07,6,"Baane Mini Imports","Bergulfsen","Jonas ","Stavern",,"Norway",81700
"S12_3148","OPPO A3 Pro 5G 8GB/256GB Smartphone (Garansi Resmi)","Smartphone",5,3999000,8998,"OPPO","2024-01-13T20:32:44","2024-01-04T18:06:27","2024-05-17T04:37:16","Shipped",34,131.44,1,"Euro+ Shopping Channel","Freyre","Diego ","Madrid",,"Spain",227600
"S12_4473","Samsung Galaxy Z Flip6 [12/256] - [Mint, Silver Shadow, Yellow, Blue] Smartphone AI, AI Phone, Smartphone Lipat, Android, Kamera 50MP, FlexCam","Smartphone",5,15999000,7770,"Samsung","2024-01-13T20:32:44","2024-01-04T18:06:27","2024-05-17T04:37:16","Shipped",41,111.39,9,"Euro+ Shopping Channel","Freyre","Diego ","Madrid",,"Spain",227600
"S18_2238","VIVO V30 Pro 5G 8/256 12/512 RAM 8GB 12GB ROM 256GB 512GB Smartphone","Smartphone",3.4,5100000,4724,"VIVO","2024-01-13T20:32:44","2024-01-04T18:06:27","2024-05-17T04:37:16","Shipped",24,135.9,8,"Euro+ Shopping Channel","Freyre","Diego ","Madrid",,"Spain",227600
"S18_2319","LUNA V6 smartphone android 12 6/128 fingerint garansi resmi - Biru","Smartphone",5,1299000,8258,"LUNA","2024-01-13T20:32:44","2024-01-04T18:06:27","2024-05-17T04:37:16","Shipped",29,122.73,12,"Euro+ Shopping Channel","Freyre","Diego ","Madrid",,"Spain",227600
"S18_3232","CCA Polaris with MIC In Ear 4 Tuning Switch Single DD Eahone Headset","Earphone/TWS",4.9,130000,8347,"CCA","2024-01-13T20:32:44","2024-01-04T18:06:27","2024-05-17T04:37:16","Shipped",23,165.95,13,"Euro+ Shopping Channel","Freyre","Diego ","Madrid",,"Spain",227600
"S18_4027","ADVAN Laptop Workplus AMD Ryzen 5 6600H 14'' FHD IPS 16GB 512GB Win 11 + SSD ADVAN X HIKSEMI","Laptop",4.9,7599000,5545,"ADVAN","2024-01-13T20:32:44","2024-01-04T18:06:27","2024-05-17T04:37:16","Shipped",38,119.2,3,"Euro+ Shopping Channel","Freyre","Diego ","Madrid",,"Spain",227600
"S24_1444","Xiaomi Google TV A 43 2025 FHD  Google TV  Dolby Audio, DTS:X, dan DTS  Smart TV [ Official Store ]","TV",4.8,3099000,3508,"Xiaomi","2024-01-13T20:32:44","2024-01-04T18:06:27","2024-05-17T04:37:16","Shipped",35,52.02,6,"Euro+ Shopping Channel","Freyre","Diego ","Madrid",,"Spain",227600
"S24_2840","Advan Tab Sketsa 3 10.1â€ù HD IPS 128GB+RAM 6GB Tiger T606 Android","Tablet",4.09,2229000,2542,"SHARP","2024-01-13T20:32:44","2024-01-04T18:06:27","2024-05-17T04:37:16","Shipped",44,30.41,10,"Euro+ Shopping Channel","Freyre","Diego ","Madrid",,"Spain",227600
"S24_4048","Smartwatch GPS DM56 AMOLED | AOD | Raise to Weak | Built-in GPS | Compass | Altimeter | Barometer 5 ATM Wateroof IP69K","Smartwatch",4.09,899000,6582,"AOD","2024-01-13T20:32:44","2024-01-04T18:06:27","2024-05-17T04:37:16","Shipped",26,106.45,5,"Euro+ Shopping Channel","Freyre","Diego ","Madrid",,"Spain",227600
"S32_2509","Sony ULT TOWER 10 Bluetooth Karaoke Party Speaker with Powerful Bass","Speaker BT",5,16999000,2874,"Sony","2024-01-13T20:32:44","2024-01-04T18:06:27","2024-05-17T04:37:16","Shipped",35,51.95,11,"Euro+ Shopping Channel","Freyre","Diego ","Madrid",,"Spain",227600
"S32_3207","Philips Speaker Bluetooth Nirkabel Mic And Speaker","Speaker BT",5,1890000,8601,"Philips","2024-01-13T20:32:44","2024-01-04T18:06:27","2024-05-17T04:37:16","Shipped",49,56.55,4,"Euro+ Shopping Channel","Freyre","Diego ","Madrid",,"Spain",227600
"S50_1392","Edifier Active 2.0 Bluetooth Speaker Set - R1700BT","Speaker BT",5,1599000,1016,"Edifier","2024-01-13T20:32:44","2024-01-04T18:06:27","2024-05-17T04:37:16","Shipped",33,114.59,7,"Euro+ Shopping Channel","Freyre","Diego ","Madrid",,"Spain",227600
"S50_1514","Eggel Terra 3 Plus + Wateroof Bluetooth Speaker with RGB Lights","Speaker BT",5,699000,1645,"Eggel","2024-01-13T20:32:44","2024-01-04T18:06:27","2024-05-17T04:37:16","Shipped",32,53.31,2,"Euro+ Shopping Channel","Freyre","Diego ","Madrid",,"Spain",227600
"S10_4757","ZTE Nubia Neo 5G Smartphone Gaming 8/256 GB Black Yellow LTE Mecha","Smartphone",4.9,2154000,3252,"ZTE","2023-09-19T02:27:59","2023-12-02T16:34:51","2024-09-06T03:52:45","Shipped",50,127.84,2,"Danish Wholesale Imports","Petersen","Jytte ","Kobenhavn",,"Denmark",83400
"S12_1108","Samsung Galaxy S24 [8/256], Smartphone AI, AI Phone, Handphone AI, Kamera 50MP, Layar besar, RAM besar, Baterai tahan lama","Smartphone",5,12609500,3619,"Samsung","2023-09-19T02:27:59","2023-12-02T16:34:51","2024-09-06T03:52:45","Shipped",41,205.72,15,"Danish Wholesale Imports","Petersen","Jytte ","Kobenhavn",,"Denmark",83400
"S12_3891","SHARP AQUOS SH-C06 SMARTPHONE V7 Plus 4GB/128GB - Blue READY ","Smartphone",5,1358000,1049,"SHARP","2023-09-19T02:27:59","2023-12-02T16:34:51","2024-09-06T03:52:45","Shipped",29,141.88,14,"Danish Wholesale Imports","Petersen","Jytte ","Kobenhavn",,"Denmark",83400
